"run_family","model_run","scale","reward_group","reward_clean","model_config","pretrain_seed","fine_tune_seed","generation_seed","reward_seed","grammaticality_childes_bin","grammaticality_childes_score","grammaticality_gec_score","utterance"
"sent_approval.1e+06.1.1024","sent_approval.1e+06.1.1024.2",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","1","1024","2","1024",0,-1,0,"should we put them them right?"
"sent_approval.1e+06.1.1024","sent_approval.1e+06.1.1024.2",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","1","1024","2","1024",0,-1,0,"and there will put that into the kitchen right?"
"sent_approval.1e+06.1.1024","sent_approval.1e+06.1.1024.2",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","1","1024","2","1024",1,1,0,"they are going to make me okay?"
"sent_approval.1e+06.1.1024","sent_approval.1e+06.1.1024.2",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","1","1024","2","1024",1,1,1,"yeah, you have to put it on the paper okay?"
"sent_approval.1e+06.1.3","sent_approval.1e+06.1.3.2",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","1","3","2","3",0,-1,0,"this is and we will fix it, we will pull to you."
"sent_approval.1e+06.1.3","sent_approval.1e+06.1.3.2",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","1","3","2","3",0,-1,0,"they are on, you going to put your hands away?"
"sent_approval.1e+06.1.3","sent_approval.1e+06.1.3.2",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","1","3","2","3",1,1,1,"that is okay, you will say it."
"sent_approval.1e+06.1.3","sent_approval.1e+06.1.3.2",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","1","3","2","3",1,1,1,"that is too, that is right and you can open it."
"sent_approval.1e+06.1.999","sent_approval.1e+06.1.999.3",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","1","999","3","999",0,-1,0,"it is right there?"
"sent_approval.1e+06.1.999","sent_approval.1e+06.1.999.3",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","1","999","3","999",0,-1,1,"there is the ball?"
"sent_approval.1e+06.1.999","sent_approval.1e+06.1.999.3",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","1","999","3","999",1,1,0,"we will come up okay?"
"sent_approval.1e+06.1.999","sent_approval.1e+06.1.999.3",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","1","999","3","999",1,1,0,"we can do it okay?"
